City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-6.61,83,100,10.86,RU,1712636397
1,adamstown,-25.066,-130.1015,23.8,72,94,3.88,PN,1712636398
2,hamilton,39.1834,-84.5333,18.35,83,40,3.6,US,1712635849
3,kerikeri,-35.2268,173.9474,22.17,81,94,3.3,NZ,1712636398
4,st. john's,47.5649,-52.7093,-0.68,94,100,11.62,CA,1712636192
5,chonchi,-42.6128,-73.8092,4.56,81,5,1.44,CL,1712636398
6,kamakwie,9.5,-12.2333,25.91,73,29,2.39,SL,1712636398
7,ilulissat,69.2167,-51.1,-10.99,73,100,2.06,GL,1712636399
8,port-aux-francais,-49.35,70.2167,8.22,89,100,16.61,TF,1712636399
9,hermanus,-34.4187,19.2345,16.07,85,40,0.94,ZA,1712636399
10,ancud,-41.8697,-73.8203,6.47,71,13,4.05,CL,1712636256
11,gaoyou,32.7858,119.4278,17.4,67,67,0.81,CN,1712636408
12,tual,-5.6667,132.75,25.74,88,100,1.64,ID,1712636150
13,bredasdorp,-34.5322,20.0403,15.94,84,97,2.36,ZA,1712636409
14,guerrero negro,27.9769,-114.0611,14.85,66,2,8.06,MX,1712636409
15,hacienda huancane,-15.8222,-70.8856,1.78,97,100,1.76,PE,1712636409
16,olonkinbyen,70.9221,-8.7187,-3.68,66,78,7.37,SJ,1712636409
17,lihue,21.9789,-159.3672,26.58,82,75,10.29,US,1712636282
18,whitehorse,60.7161,-135.0538,-2.22,87,100,2.31,CA,1712636257
19,shahpur,16.7,76.8333,30.7,37,91,7.99,IN,1712636410
20,chibougamau,49.9168,-74.3659,-0.21,55,0,1.54,CA,1712636410
21,zakamensk,50.3741,103.2863,8.05,70,100,0.36,RU,1712636411
22,brisas de zicatela,15.8369,-97.0419,27.3,70,45,2.77,MX,1712636411
23,albany,42.6001,-73.9662,9.4,64,75,1.34,US,1712636154
24,puerto aysen,-45.4,-72.7,1.81,94,72,1.87,CL,1712636332
25,grytviken,-54.2811,-36.5092,1.64,96,100,2.82,GS,1712636411
26,iqaluit,63.7506,-68.5145,-14.15,71,20,4.63,CA,1712636412
27,kone,-21.0595,164.8658,32.73,44,60,3.19,NC,1712636412
28,edinburgh of the seven seas,-37.0676,-12.3116,18.95,91,100,13.08,SH,1712636412
29,yuzhno-kurilsk,44.0306,145.8556,1.32,98,100,11.18,RU,1712636412
30,al mayadin,35.0209,40.4535,18.83,55,62,1.64,SY,1712636412
31,monte alegre,-2.0078,-54.0692,23.69,96,100,1.66,BR,1712636413
32,kailua-kona,19.6406,-155.9956,25.98,81,75,2.57,US,1712636413
33,bethel,41.3712,-73.414,12.84,46,100,2.06,US,1712636413
34,turkestan,43.3333,68.25,14.63,49,48,3.01,KZ,1712636413
35,khorixas,-20.3667,14.9667,13.16,59,15,1.07,NA,1712636414
36,weno,7.4515,151.8468,31.97,74,40,4.63,FM,1712636414
37,haiku-pauwela,20.9219,-156.3051,22.92,75,40,9.26,US,1712636414
38,west island,-12.1568,96.8225,28.99,79,40,5.66,CC,1712636414
39,hawaiian paradise park,19.5933,-154.9731,22.24,91,100,4.12,US,1712636414
40,nar'yan-mar,67.6713,53.087,-15.5,97,100,1.79,RU,1712636415
41,luderitz,-26.6481,15.1594,13.86,87,2,4.42,NA,1712636415
42,burlington,39.8835,-74.6413,14.04,66,20,1.54,US,1712636132
43,huayin,34.5675,110.0921,24.75,28,72,5.06,CN,1712636415
44,thinadhoo,0.5333,72.9333,29.12,71,100,2.04,MV,1712636415
45,yellowknife,62.456,-114.3525,-0.71,80,20,3.09,CA,1712636416
46,anadyr,64.75,177.4833,-8.72,61,40,6.0,RU,1712636416
47,chagoda,59.164,35.3285,7.16,84,92,2.35,RU,1712636416
48,reggane,26.7158,0.1714,28.33,10,0,1.9,DZ,1712636416
49,usogorsk,63.4106,48.6872,-11.3,99,92,2.52,RU,1712636369
50,port alfred,-33.5906,26.891,17.32,97,96,1.79,ZA,1712636417
51,dossor,47.5272,52.9811,13.35,49,94,4.68,KZ,1712636417
52,afaahiti,-17.75,-149.2833,28.93,83,97,5.32,PF,1712636417
53,ribeira grande,38.5167,-28.7,17.1,96,86,6.71,PT,1712636418
54,ilabaya,-17.4208,-70.5133,19.37,84,68,1.12,PE,1712636418
55,fortaleza,-3.7227,-38.5247,27.07,89,40,2.06,BR,1712636165
56,qaqortoq,60.7167,-46.0333,-4.87,83,100,2.72,GL,1712636418
57,waitangi,-43.9535,-176.5597,15.46,82,84,3.13,NZ,1712636419
58,kingston,17.997,-76.7936,28.53,74,20,3.6,JM,1712636341
59,tabuk,17.4189,121.4443,33.91,37,0,3.44,PH,1712636419
60,pozzallo,36.7305,14.8499,9.36,82,17,3.62,IT,1712636419
61,nantucket,41.2835,-70.0995,9.08,75,0,6.17,US,1712636420
62,northam,51.0333,-4.2167,8.7,95,100,14.67,GB,1712636420
63,arkhangel'sk,64.5401,40.5433,-1.94,93,100,3.0,RU,1712636129
64,puerto ayora,-0.7393,-90.3518,25.23,90,29,2.44,EC,1712636421
65,polygyros,40.3744,23.4383,11.62,58,0,1.34,GR,1712636200
66,jamestown,42.097,-79.2353,10.8,75,0,2.06,US,1712636126
67,kavaratti,10.5669,72.642,29.45,61,47,1.97,IN,1712636421
68,badger,64.8,-147.5333,1.14,70,75,2.57,US,1712636422
69,college,64.8569,-147.8028,1.18,72,40,2.57,US,1712636422
70,sucre,-19.0333,-65.2627,14.69,78,100,2.31,BO,1712636422
71,galliano,29.4422,-90.2992,22.22,83,75,4.12,US,1712636146
72,carnarvon,-24.8667,113.6333,32.2,27,0,6.34,AU,1712636423
73,klyuchi,52.2667,79.1667,12.38,69,100,5.85,RU,1712636423
74,ust-nera,64.5667,143.2,-5.61,84,100,2.77,RU,1712636423
75,bilibino,68.0546,166.4372,-8.75,75,90,1.35,RU,1712636423
76,bintulu,3.1667,113.0333,29.37,77,45,2.47,MY,1712636280
77,ilhabela,-23.7781,-45.3581,23.42,88,69,0.69,BR,1712636424
78,manadhoo,5.7667,73.3833,29.03,72,65,1.99,MV,1712636424
79,queenstown,-31.8976,26.8753,11.76,79,18,2.8,ZA,1712636280
80,inirida,3.8653,-67.9239,24.16,78,32,1.19,CO,1712636425
81,ocean city,39.2776,-74.5746,11.17,80,100,2.68,US,1712636341
82,nouadhibou,20.931,-17.0347,17.99,77,0,10.8,MR,1712636426
83,mendoza,-32.8908,-68.8272,20.74,64,0,1.54,AR,1712636290
84,nova vicosa,-17.8919,-39.3719,25.1,80,82,1.98,BR,1712636426
85,margaret river,-33.95,115.0667,22.47,41,7,2.71,AU,1712636329
86,kirgiz-miyaki,53.6324,54.7979,7.41,94,94,5.63,RU,1712636427
87,colonia,50.9333,6.95,16.65,76,100,3.6,DE,1712636343
88,greymouth,-42.4667,171.2,16.63,80,100,5.58,NZ,1712636427
89,howrah,22.5892,88.3103,31.0,48,40,3.09,IN,1712636428
90,ushuaia,-54.8,-68.3,1.81,75,0,1.54,AR,1712636428
91,thompson,55.7435,-97.8558,0.09,55,20,1.03,CA,1712636428
92,darwha,20.3167,77.7667,30.83,43,1,7.54,IN,1712636428
93,invercargill,-46.4,168.35,18.66,63,100,3.81,NZ,1712636429
94,rexburg,43.826,-111.7897,4.73,56,0,5.14,US,1712636429
95,magadan,59.5667,150.8,-3.04,87,96,1.59,RU,1712636429
96,crane,31.3974,-102.3501,20.22,75,69,8.62,US,1712636429
97,hotan,37.0997,79.9269,19.42,13,7,3.52,CN,1712636430
